sexo,altura,peso
hombre,194.60856668163404,115.90608690128326
hombre,167.6310192251122,83.11221791533758
mujer,159.58033550113086,53.839684809815914
mujer,152.96364466120016,48.8022747893874
hombre,172.02307207862876,91.10572962147482
mujer,157.73331099321496,62.7888801114458
mujer,161.8814315925904,65.58427884475391
hombre,169.72981857288306,75.2755468435426
hombre,165.29295600456274,67.64825412646985
hombre,193.3363536932287,109.00906088383795
mujer,165.71888837734903,67.58813539292335
mujer,164.1334645766744,67.80192474636846
mujer,170.46381813277233,73.659970378531
mujer,168.86792976455365,62.79159663374576
hombre,169.65677968275057,74.86261834725352
hombre,182.88439983320947,88.88512976006649
hombre,168.33679595315257,69.94121802499255
hombre,176.77085862042762,86.76126212669699
hombre,188.03586681247512,97.5279533519184
hombre,171.8991275089421,81.4271160160435
hombre,168.5899471313722,76.00632913596395
mujer,153.3148441234661,57.91234106884155
mujer,171.00206590163071,66.58192640425189
hombre,179.82851182468605,88.73175525476759
hombre,177.43842514582147,84.45210213741977
hombre,170.79137500967502,80.06607636783573
mujer,162.62847779040686,62.91101209444803
hombre,181.27977475229918,97.0704612049694
mujer,162.36107602670168,66.31209888044775
mujer,168.3494147582314,65.63710142612092
hombre,175.77179292362774,79.82805391509494
mujer,163.65456939010298,59.01569779658825
mujer,172.37238305348473,73.84933117601933
mujer,161.82632755410984,63.700611333555756
hombre,194.1997083142521,108.53036940716669
mujer,162.44207715133513,65.92072232763223
hombre,170.30116274305578,82.92756530412044
mujer,157.0359306576213,65.48363447193286
mujer,163.5740410394564,59.28131500600087
mujer,168.12410074209123,63.99619610800851
mujer,162.6958758599795,64.77871889545837
mujer,163.68647870285952,68.64034811785314
mujer,161.82329707007048,61.54001591079508
mujer,155.0506730738132,51.591935702630145
hombre,185.57183758300621,88.81480372533616
hombre,176.06814957820714,84.59231198338307
mujer,164.81980552317495,69.57456997489741
mujer,156.906889714564,55.44963009343506
hombre,175.24757220854474,82.85284693931952
mujer,163.3648404899912,65.1683848613934
hombre,165.66088402280857,72.02119529642573
hombre,167.02887325922367,74.33114436286138
mujer,155.13551074117458,57.57166371084783
hombre,181.19947514148774,91.4853864464006
hombre,181.81242782580267,90.77808494565946
mujer,166.6911223344396,61.50958048784329
mujer,168.71581367575973,67.1890961048149
hombre,179.7526558780889,85.48609917658018
mujer,176.22452661925203,80.49811981407187
mujer,168.88224895112683,62.74464034190596
hombre,169.35902403700146,82.98837999854129
