Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow
2583296920,"Aug 1, 2019, 3:51:15 PM",Afternoon Ride,Ride,"",50436,8.14,,false,,activities/2583296920.gpx,0.0,,50436.0,38641.0,8143.7001953125,14.199999809265137,,29.829328536987305,,605.7000122070312,704.5,21.700000762939453,-1.0339280366897583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2583296929,"Aug 2, 2019, 5:53:50 AM",Morning Ride,Ride,"",1745,7.96,,false,,activities/2583296929.gpx,0.0,,1745.0,1682.0,7960.2998046875,13.800000190734863,,128.79434204101562,,584.2999877929688,704.5,13.0,1.1846287250518799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2584111125,"Aug 2, 2019, 1:15:49 PM",Afternoon Ride,Ride,,944,6.97,,false,,activities/2584111125.gpx,0.0,,944.0,944.0,6969.60009765625,14.899999618530273,,17.21060562133789,,584.2999877929688,704.5,10.5,-1.59837007522583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2613027582,"Aug 12, 2019, 3:58:59 PM",Afternoon Ride,Ride,,4170,10.52,,false,,activities/2613027582.gpx,0.0,,4170.0,3003.0,10528.7998046875,11.800000190734863,,62.29892349243164,,765.5,794.5999755859375,7.199999809265137,-0.029443051666021347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2631611632,"Aug 19, 2019, 5:24:35 AM",Morning Ride,Ride,,1744,7.62,,true,,activities/2631611632.gpx,0.0,,1744.0,1611.0,7628.7001953125,12.0,,128.7993621826172,,584.2999877929688,704.5,12.899999618530273,1.3318127393722534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2632473031,"Aug 19, 2019, 1:29:48 PM",Afternoon Ride,Ride,,1046,7.62,,true,,activities/2632473031.gpx,0.0,,1046.0,1038.0,7620.2998046875,13.899999618530273,,30.425846099853516,,584.2999877929688,704.5,10.100000381469727,-1.309659719467163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2638849095,"Aug 21, 2019, 2:20:31 PM",Afternoon Ride,Ride,,508,2.28,,false,,activities/2638849095.gpx,0.0,,508.0,474.0,2286.199951171875,13.399999618530273,,25.790428161621094,,682.5999755859375,704.5,12.699999809265137,-0.13559618592262268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2643236289,"Aug 23, 2019, 5:37:38 AM",Morning Ride,Ride,,1825,8.43,,true,,activities/2643236289.gpx,0.0,,1825.0,1697.0,8429.599609375,31.299999237060547,,132.18539428710938,,584.0999755859375,704.5,17.200000762939453,1.2064629793167114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2644113014,"Aug 23, 2019, 1:23:22 PM",Afternoon Ride,Ride,,1198,7.72,,true,,activities/2644113014.gpx,0.0,,1198.0,1147.0,7728.7001953125,14.899999618530273,,30.786420822143555,,584.2999877929688,704.5,11.199999809265137,-1.292584776878357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2654951421,"Aug 27, 2019, 5:43:31 AM",Morning Ride,Ride,,2365,7.97,,false,,activities/2654951421.gpx,0.0,,2365.0,1862.0,7977.2001953125,12.699999809265137,,128.90042114257812,,584.2999877929688,704.5,13.199999809265137,1.1808654069900513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2656875661,"Aug 27, 2019, 1:28:33 PM",Afternoon Ride,Ride,,1264,7.78,,true,,activities/2656875661.gpx,0.0,,1264.0,1206.0,7781.10009765625,14.0,,33.9264030456543,,584.2999877929688,704.5,10.300000190734863,-1.2350438833236694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2658005830,"Aug 28, 2019, 5:40:07 AM",Morning Ride,Ride,,1782,7.78,,false,,activities/2658005830.gpx,0.0,,1782.0,1714.0,7788.60009765625,12.399999618530273,,129.07574462890625,,584.2999877929688,704.5,11.300000190734863,1.2903474569320679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2658903178,"Aug 28, 2019, 1:13:07 PM",Afternoon Ride,Ride,,1185,7.72,,true,,activities/2658903178.gpx,0.0,,1185.0,1127.0,7723.10009765625,14.0,,30.743139266967773,,584.2999877929688,704.5,10.5,-1.2909324169158936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2660907983,"Aug 29, 2019, 5:47:03 AM",Morning Ride,Ride,,1866,7.87,,true,,activities/2660907983.gpx,0.0,,1866.0,1712.0,7874.7998046875,12.5,,128.5088653564453,,584.2999877929688,704.5,12.5,1.2762229442596436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2661827785,"Aug 29, 2019, 1:41:16 PM",Afternoon Ride,Ride,,1321,8.03,,true,,activities/2661827785.gpx,0.0,,1321.0,1256.0,8031.2998046875,13.699999809265137,,40.9491081237793,,584.2999877929688,704.5,11.399999618530273,-1.149253487586975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2663789538,"Aug 30, 2019, 6:14:13 AM",Morning Ride,Ride,,1875,7.81,,true,,activities/2663789538.gpx,0.0,,1875.0,1807.0,7810.0,14.399999618530273,,128.5631103515625,,584.2999877929688,704.4000244140625,17.0,1.2855314016342163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2664579250,"Aug 30, 2019, 1:34:35 PM",Afternoon Ride,Ride,,1227,7.71,,true,,activities/2664579250.gpx,0.0,,1227.0,1186.0,7710.10009765625,12.899999618530273,,30.344310760498047,,584.2999877929688,704.5,11.699999809265137,-1.3008910417556763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
